CustomerID,Name,Email,Location,Satisfaction_Score,Feedback,Date
1102,Bob Lee,sarah@domain.com,Montreal,3,Great service,2023-06-01
1435,  Alice Johnson  ,bob.lee@gmail.com,Toronto,2,,2023-03-02
1860,Alice Johnson,bob.lee@gmail.com,Vancouver,,,2023-03-02
1270,  Alice Johnson  ,bob.lee@gmail.com,Vancouver,4,,2023-12-20
1106,Alice Johnson,bob.lee@gmail.com,Montreal,4,Okay,2023-01-28
1071,Bob Lee,john@example.com,toronto,5,,2023-02-12
1700,Alice Johnson,bob.lee@gmail.com,,1,,2023-06-18
1020,Alice Johnson,,,5,Great service,2023-03-27
1614,Alice Johnson,,Vancouver,3,Okay,2023-06-26
1121,John Smith,john@example.com,MONTREAL,2,,2023-01-17
1466,John Smith,bob.lee@gmail.com,MONTREAL,3,Okay,2023-04-08
1214,John Smith,bob.lee@gmail.com,Montreal,,Great service,2023-07-17
1330,Bob Lee,bob.lee@gmail.com,,4,,2023-04-08
1458,  Alice Johnson  ,sarah@domain.com,Vancouver,5,Okay,2023-03-06
1087,,alice@sample.net,toronto,5,Bad experience,2023-11-26
1372,Alice Johnson,sarah@domain.com,,5,Great service,2023-12-07
1099,Alice Johnson,alice@sample.net,Vancouver,3,Great service,2023-01-05
1871,Bob Lee,bob.lee@gmail.com,Vancouver,4,Great service,2023-01-02
1663,Alice Johnson,bob.lee@gmail.com,Toronto,2,Bad experience,2023-01-22
1130,John Smith,sarah@domain.com,toronto,,Bad experience,2023-04-22
1661,,sarah@domain.com,Toronto,2,,2023-02-26
1308,Sarah Khan,alice@sample.net,Montreal,3,Okay,2023-03-07
1769,Alice Johnson,,Toronto,,,2023-11-26
1343,John Smith,alice@sample.net,Toronto,5,Okay,2023-04-08
1491,Sarah Khan,sarah@domain.com,,1,Bad experience,2023-05-24
1413,,sarah@domain.com,MONTREAL,3,Bad experience,2023-05-05
1805,Sarah Khan,john@example.com,Vancouver,3,,2023-06-16
1385,John Smith,sarah@domain.com,toronto,4,,2023-03-27
1191,  Alice Johnson  ,john@example.com,Toronto,2,,2023-03-17
1955,  Alice Johnson  ,,toronto,3,Okay,2023-12-10
1276,Sarah Khan,alice@sample.net,MONTREAL,3,,2023-10-21
1160,Bob Lee,alice@sample.net,MONTREAL,5,Great service,2023-02-28
1459,Sarah Khan,john@example.com,Toronto,5,Okay,2023-05-18
1313,Alice Johnson,alice@sample.net,Montreal,,Okay,2023-04-09
1021,Alice Johnson,sarah@domain.com,Toronto,1,,2023-07-11
1252,  Alice Johnson  ,bob.lee@gmail.com,,4,Bad experience,2023-08-31
1747,Bob Lee,john@example.com,Vancouver,1,Okay,2023-11-15
1856,John Smith,alice@sample.net,Montreal,,Bad experience,2023-02-18
1560,Alice Johnson,john@example.com,Toronto,5,,2023-02-01
1474,  Alice Johnson  ,john@example.com,toronto,2,Great service,2023-10-04
1058,,bob.lee@gmail.com,Montreal,5,,2023-01-20
1510,  Alice Johnson  ,sarah@domain.com,Montreal,4,Bad experience,2023-06-03
1681,Alice Johnson,john@example.com,Toronto,5,Okay,2023-03-09
1475,Alice Johnson,alice@sample.net,Montreal,4,Bad experience,2023-08-02
1699,  Alice Johnson  ,,toronto,4,Okay,2023-05-23
1975,John Smith,john@example.com,MONTREAL,4,Bad experience,2023-08-20
